,episode_reward,nb_episode_steps,nb_steps
492,-145.1021837244183,38,44382
493,-192.23048166646652,13,44395
494,-139.10713132187107,39,44434
495,178.46592731403143,60,44494
496,-141.5100780072092,48,44542
497,-138.70669763213164,46,44588
498,110.50652681724718,127,44715
499,60.059408674915495,179,44894
500,-183.40290898912326,76,44970
501,-100.4676921228067,94,45064
502,-167.1749366164455,75,45139
503,-168.47253209792146,75,45214
504,-194.0913247360318,84,45298
505,-149.61010956759253,45,45343
506,135.80079152125157,103,45446
507,-158.44460887146386,47,45493
508,-166.37475736326948,64,45557
509,-162.2462932749935,65,45622
510,-105.87757811786656,18,45640
511,150.2946184326408,88,45728
512,-196.84233884619027,15,45743
513,124.02313453333032,115,45858
514,61.00606367556663,178,46036
515,-105.91388579889541,25,46061
516,66.5633485015858,172,46233
517,-159.66839021401077,60,46293
518,76.03164365340429,163,46456
519,30.07503582058567,209,46665
520,-100.32245290557847,232,46897
521,110.37090471679014,128,47025
522,95.86288289579512,143,47168
523,124.69593023181038,114,47282
524,97.48391094940204,141,47423
525,-111.23782590914047,27,47450
526,79.6477809832046,159,47609
527,56.86528049527252,182,47791
528,-100.84331698392569,236,48027
529,-172.14892902735244,88,48115
530,-126.64684724624715,37,48152
531,-162.6576847516202,81,48233
532,-100.70204858078641,237,48470
533,-159.2348024540691,51,48521
534,-165.4298028142038,58,48579
535,17.131472661814,221,48800
536,66.50896462927867,172,48972
537,52.498002775265526,186,49158
538,-126.02526329939266,40,49198
539,-115.48741803072667,26,49224
540,66.73013895872234,172,49396
541,23.814756755341037,215,49611
542,-103.69322099038159,25,49636
543,-196.6168982533291,27,49663
544,101.66925146134334,137,49800
545,-111.2943687220399,22,49822
546,42.01154978372619,196,50018
547,123.18832349467323,115,50133
548,86.12934005568236,153,50286
549,36.63782645241328,103,50389
550,-105.86912512262676,37,50426
551,-124.40146320099893,55,50481
552,51.14716329269859,188,50669
553,-129.71809084533925,46,50715
554,-186.94952981654336,84,50799
555,-112.7671665468693,26,50825
556,138.27425659741576,100,50952
557,-161.99234832942386,61,51013
558,-102.7788776525033,26,51039
559,-164.16842208107184,57,51096
560,-149.64813444222798,41,51137
561,-117.6775628197365,32,51169
562,-158.2885903261279,48,51217
563,-156.50597291457797,47,51264
564,-105.824248924255,20,51284
565,-100.096390965507,233,51517
566,93.12045711148798,145,51662
567,-149.63885909596485,40,51702
568,71.7886966025573,167,51869
569,83.17974326160623,155,52024
570,-123.67078739523407,34,52058
571,-118.40531359164468,34,52092
572,104.02318720197698,135,52227
573,80.86342022202145,158,52385
574,-168.00400569867537,23,52408
575,-152.5538916144356,43,52451
576,-157.1901043785406,69,52520
577,-100.35430874207515,229,52749
578,-100.44832169230534,197,52946
579,-100.03107721940145,232,53178
580,-159.8948967634388,67,53245
581,-155.83958514374177,48,53293
582,-100.45366886940832,232,53525
583,143.9404586111179,94,53619
584,-153.43406205419836,45,53664
585,-155.87297928636912,47,53711
586,10.121835926717296,229,53940
587,39.81146026584432,199,54139
588,-148.5143457236128,41,54180
589,-148.25899533388508,41,54221
590,-155.78459086912787,48,54269
591,-164.3505286577385,56,54325
592,-115.83355062383804,30,54355
593,172.06290612205052,65,54420
594,167.68204128727757,71,54491
595,-100.65627967987999,13,54504
596,-118.74185197117765,110,54614
597,-148.41121996162565,38,54652
598,-150.24654577737837,40,54692
599,-156.64820748626298,49,54741
600,-100.71597999401376,111,54852
601,16.774585994647467,222,55074
602,111.09476040363542,127,55201
603,-152.74499181313308,55,55256
604,-197.96228704160072,16,55272
605,-199.78992244159076,18,55290
606,-197.73810617859618,16,55306
607,147.80753840971306,91,55397
608,-101.72930469262778,19,55416
609,-199.8327518240378,16,55432
610,-199.77418527478642,18,55450
611,-192.57426270197428,10,55460
612,-100.66969452749123,13,55473
613,-108.86583427461727,23,55496
614,-103.49417754491617,16,55512
615,-193.8344459619513,9,55521
616,-196.09062364206432,12,55533
617,-192.57787589841428,10,55543
618,-192.59327044515828,10,55553
619,-104.37454452818969,17,55570
620,-101.49931694665361,14,55584
621,-192.54688319940897,10,55594
622,-100.0876365986114,205,55799
623,-100.3339029353522,107,55906
624,-100.41073245251971,118,56024
625,-168.3212962042453,84,56108
626,-153.50821250260836,67,56175
627,-106.65540990635736,19,56194
628,-100.64290169619436,154,56348
629,-156.7751001991508,74,56422
630,-116.36748141478368,107,56529
631,-142.2837679742512,63,56592
632,-100.2771368629956,132,56724
633,-103.14028644886812,17,56741
634,-103.24091271361878,20,56761
635,-197.90486155276687,14,56775
636,-105.34970176581385,22,56797
637,-105.78807787529848,18,56815
638,-101.95676031605458,12,56827
639,-101.50203929658312,14,56841
640,-144.76310643505303,55,56896
641,-147.3515292649393,59,56955
642,-196.9842528280435,14,56969
643,-117.95644044272748,29,56998
644,-127.72725922538987,43,57041
645,-135.4669125475493,48,57089
646,-101.03146848659514,15,57104
647,-100.59987821271872,229,57333
648,-108.29496816960638,22,57355
649,-198.5471822382696,17,57372
650,-100.76986051224263,15,57387
651,-105.75645338883396,18,57405
652,-100.29171818161467,105,57510
653,-100.21694743200021,110,57620
654,-100.52916228295362,116,57736
655,-100.79338396737758,137,57873
656,-198.86717816563137,16,57889
657,-100.99529940304616,16,57905
658,-101.09538499264636,15,57920
659,-123.55503978966414,35,57955
660,-131.5252970263038,43,57998
661,-196.83434735506842,30,58028
662,-100.4414142565396,136,58164
663,-100.88544028832239,236,58400
664,-100.33470339829222,133,58533
665,-106.93443308109043,25,58558
666,-103.09021647635241,19,58577
667,-199.2888951192188,33,58610
668,-100.29571679548889,165,58775
669,-100.47526452643957,236,59011
670,-114.06993607930995,31,59042
671,-100.3920196043441,236,59278
672,-100.11005741233393,213,59491
673,-100.80343061298282,153,59644
674,-100.51728006140858,235,59879
675,54.322347943047546,184,60063
676,91.26215910351559,147,60210
677,-100.93661133466803,237,60447
678,-113.32387432951893,32,60479
679,-100.42704732366401,17,60496
680,98.66447511499545,140,60636
681,101.17215721861534,138,60774
682,28.027481677181626,211,60985
683,117.08010305793104,122,61107
684,107.09027721780177,132,61239
685,132.42532741102195,106,61345
686,116.92095376257821,122,61467
687,126.57082952964953,112,61579
688,-199.01038592991938,15,61594
689,137.02184675192015,102,61696
690,144.39889932801466,94,61790
691,97.52694657304279,141,61931
692,-153.35253615979508,45,61976
693,137.252748169944,101,62077
694,-101.0929592810916,18,62095
695,-100.49710541013015,133,62228
696,-195.0615768080137,15,62243
697,40.98925603759216,99,62342
698,140.74947722128616,98,62440
699,-164.48144661195073,55,62495
700,-115.6605077484983,29,62524
701,110.46265635719084,128,62652
702,-161.8639531574271,53,62705
703,-156.96211810342373,49,62754
704,76.7400220345608,162,62916
705,136.88358576012416,102,63018
706,-182.63643709992817,73,63091
707,-160.8797433899178,53,63144
708,-163.4712883579083,55,63199
709,-162.13228777630087,54,63253
710,-164.51468723523908,56,63309
711,149.89623158135876,89,63398
712,-151.93325264750055,44,63442
713,-188.42908248043142,80,63522
714,-159.98272769362063,52,63574
715,-154.30962318423397,46,63620
716,-150.07609195663332,42,63662
717,-146.4031824702639,38,63700
718,155.33689844287466,83,63783
719,142.415465213338,96,63879
720,-156.8008005762468,47,63926
721,101.78363996538059,137,64063
722,135.52593420013415,103,64166
723,39.06906706754817,200,64366
724,-196.2970935549367,87,64453
725,164.44756697977522,74,64527
726,-159.3041712693922,50,64577
727,-170.01080521419755,62,64639
728,74.6665056367658,164,64803
729,-168.86135077263987,61,64864
730,-152.8362249697999,45,64909
731,-103.67981887198948,93,65002
732,-168.68862302782048,61,65063
733,-154.70201434038188,46,65109
734,-163.66583876797463,56,65165
735,-100.99098771071287,92,65257
736,-177.62221589879908,70,65327
737,68.58778720049054,170,65497
738,-116.39888807619813,107,65604
739,-166.4749185355636,155,65759
740,-100.3571144004604,163,65922
741,-190.06377782154198,80,66002
742,-124.18086267876609,112,66114
743,97.57368652688133,141,66255
744,128.43522875929807,110,66365
745,106.13149258182871,132,66497
746,8.044197845743142,231,66728
747,-146.0301143552289,38,66766
748,-148.13718966056112,40,66806
749,-151.0769195834882,41,66847
750,-150.08251397048684,41,66888
751,-100.88689595566626,237,67125
752,78.85861481612741,159,67284
753,107.20623779519349,132,67416
754,-100.97846566434082,137,67553
755,-100.19126003533307,236,67789
756,123.13178026884431,115,67904
757,12.803119010903274,226,68130
758,95.58878575289015,143,68273
759,100.53998687176534,138,68411
760,-100.90060577695868,236,68647
761,-199.2410274786194,17,68664
762,100.19630061970112,138,68802
763,85.306761931089,153,68955
764,78.43721081691828,160,69115
765,-100.05026231839463,236,69351
766,96.76895581522699,142,69493
767,104.68307470802023,134,69627
768,126.9861498679479,112,69739
769,130.90084531666565,108,69847
770,102.2217457737149,136,69983
771,85.70888657809624,152,70135
772,130.44438973416842,107,70242
773,19.12412678187313,219,70461
774,-197.71253263683505,13,70474
775,111.80814976624073,126,70600
776,138.59724361408078,100,70700
777,87.88010054619853,151,70851
778,147.44802136029276,91,70942
779,-196.54119202641388,10,70952
780,17.647149767024118,221,71173
781,-100.38421753758084,112,71285
782,52.50629520954609,185,71470
783,153.8458042386788,85,71555
784,43.66550447648762,195,71750
785,-100.59776077670612,136,71886
786,79.03716407058,157,72043
787,8.138120420190234,231,72274
788,-186.51475231867502,82,72356
789,-187.93379540288186,104,72460
790,131.42373809281457,106,72566
791,159.59100947276448,78,72644
792,-164.27948567374085,70,72714
793,-176.13051509057328,67,72781
794,133.29085594972972,105,72886
795,-198.71857630832085,92,72978
796,115.4585961983555,122,73100
797,-165.93718148751717,21,73121
798,129.9138476963807,108,73229
799,162.59140412966997,76,73305
800,-184.103750753153,83,73388
801,-165.90637470184612,21,73409
802,117.61548740943704,121,73530
803,129.01720799824284,110,73640
804,107.4436098217197,130,73770
805,-148.3902832654807,40,73810
806,142.87991471262333,96,73906
807,110.60005980416527,128,74034
808,-180.86162094531753,71,74105
809,-107.78730408313449,97,74202
810,47.13270849050586,192,74394
811,-110.49902592380636,28,74422
812,-125.42534876082559,125,74547
813,-152.60496061981456,44,74591
814,-149.39044573564087,141,74732
815,40.33909718187934,198,74930
816,-100.0087294691485,16,74946
817,-163.70999249563258,55,75001
818,-149.04239400222986,41,75042
819,-155.29690363751027,44,75086
820,-147.01738067130375,45,75131
821,-148.31998572286608,40,75171
822,-112.63504166553437,102,75273
823,-148.57155296934124,40,75313
824,-148.65139928920632,39,75352
825,-152.18038585024325,44,75396
826,93.73984795154578,144,75540
827,-108.24036145695621,99,75639
828,-165.72712404845018,56,75695
829,-151.271434549048,44,75739
830,-100.70673146337754,128,75867
831,33.94714334634264,205,76072
832,-196.97473711789794,15,76087
833,31.092548947887792,208,76295
834,-111.89248643428735,28,76323
835,-145.62607446276434,36,76359
836,-100.06051313355994,234,76593
837,68.60731833240361,170,76763
838,18.646538393437623,220,76983
839,-100.77208528942276,233,77216
840,-100.5456836206563,238,77454
841,-100.68884420190172,237,77691
842,-100.73212229105503,238,77929
843,-100.24520733316162,237,78166
844,-100.56550746176677,238,78404
845,104.12743981658251,135,78539
846,34.42467110954699,204,78743
847,-100.49293497440328,136,78879
848,81.12009165316756,157,79036
849,9.547548299035583,229,79265
850,109.47802685918954,129,79394
851,33.648185446009464,205,79599
852,48.9283902166876,190,79789
853,83.43824489254962,155,79944
854,32.00885071826181,207,80151
855,42.53122284393565,196,80347
856,-164.6786845154781,56,80403
857,-160.96117792345325,52,80455
858,-158.96866653869535,51,80506
859,107.72078344277396,131,80637
860,90.83212210877417,148,80785
861,102.71386991077075,135,80920
862,92.89621509326017,146,81066
863,113.27722836377703,125,81191
864,-165.070225290373,55,81246
865,62.709078844437705,176,81422
866,76.89794126423627,162,81584
867,123.72920126874659,115,81699
868,99.58331203315149,139,81838
869,103.07471724489429,136,81974
870,-199.30351687459762,18,81992
871,70.89822762193398,168,82160
872,116.60490546700292,122,82282
873,104.59190866285132,134,82416
874,121.13755498113917,118,82534
875,74.04876447215702,165,82699
876,124.5417519593287,114,82813
877,115.66955259673713,123,82936
878,105.8800927816548,133,83069
879,95.25781267580571,143,83212
880,131.10437240351334,108,83320
881,123.6778779756922,115,83435
882,110.67679673784474,128,83563
