;episode_reward;episode_reward;decimal;nb_episode_steps;nb_steps
317;-98;-98,9429915286472;9,42992E+12;10;6604
;;;;;
318;-127;-127,86866212231948;8,68662E+13;14;6618
;;;;;
319;-109;-109,76852620824351;7,68526E+13;13;6631
;;;;;
320;-103;-103,88688240619118;8,86882E+13;10;6641
;;;;;
321;-89;-89,68074585761948;6,80746E+13;12;6653
;;;;;
322;-86;-86,14497411212903;1,44974E+13;12;6665
;;;;;
323;-103;-103,75483493499144;7,54835E+13;10;6675
;;;;;
324;-108;-108,51091512903548;5,10915E+13;12;6687
;;;;;
325;-121;-121,2752707867362;2,75271E+12;13;6700
;;;;;
326;-125;-125,449239415627;4,49239E+11;15;6715
;;;;;
327;-114;-114,26645607830548;2,66456E+13;12;6727
;;;;;
328;-104;-104,56227810668489;5,62278E+13;15;6742
;;;;;
329;-103;-103,36260437389296;3,62604E+13;11;6753
;;;;;
330;-103;-103,87201089977876;8,72011E+13;10;6763
;;;;;
331;-155;-155,164788072374;1,64788E+11;18;6781
;;;;;
332;-159;-159,3714304935352;3,7143E+12;14;6795
;;;;;
333;-103;-103,8132413238385;8,13241E+12;10;6805
;;;;;
334;-126;-126,445547924458;4,45548E+11;10;6815
;;;;;
335;-103;-103,38109231407398;3,81092E+13;11;6826
;;;;;
336;-119;-119,96383520204228;9,63835E+13;15;6841
;;;;;
337;-109;-109,39815666837211;3,98157E+13;8;6849
;;;;;
338;-96;-96,28807275023985;2,88073E+13;9;6858
;;;;;
339;-460;-460,11174354023325;1,11744E+13;28;6886
;;;;;
340;-109;-109,14099995276013;1,41E+13;10;6896
;;;;;
341;-101;-101,40005675854306;4,00057E+13;11;6907
;;;;;
342;-94;-94,6937009126614;6,93701E+12;10;6917
;;;;;
343;-98;-98,72343066047839;7,23431E+13;10;6927
;;;;;
344;-98;-98,71173493659435;7,11735E+13;10;6937
;;;;;
345;-101;-101,44105431247797;4,41054E+13;11;6948
;;;;;
346;-94;-94,50985381518896;5,09854E+13;12;6960
;;;;;
347;-107;-107,32623675543852;3,26237E+13;14;6974
;;;;;
348;-106;-106,895859846164;8,9586E+11;9;6983
;;;;;
349;-122;-122,13420990641745;1,3421E+13;13;6996
;;;;;
350;-120;-120,65505550667905;6,55056E+13;14;7010
;;;;;
351;-114;-114,18328362804766;1,83284E+13;12;7022
;;;;;
352;-122;-122,21893807967749;2,18938E+13;12;7034
;;;;;
353;-101;-101,43348034050655;4,3348E+13;11;7045
;;;;;
354;-86;-86,16264234960644;1,62642E+13;12;7057
;;;;;
355;-138;-138,50533178629559;5,05332E+13;13;7070
;;;;;
356;-113;-113,2192565401368;2,19257E+12;12;7082
;;;;;
357;-98;-98,85192535396692;8,51925E+13;9;7091
;;;;;
358;-115;-115,42391264353469;4,23913E+13;11;7102
;;;;;
359;-117;-117,92180310978154;9,21803E+13;13;7115
;;;;;
360;-93;-93,165648477358;1,65648E+11;13;7128
;;;;;
361;-433;-433,4274822443636;4,27482E+12;29;7157
;;;;;
362;-171;-171,65433419022673;6,54334E+13;21;7178
;;;;;
363;-88;-88,60147876998928;6,01479E+13;11;7189
;;;;;
364;-96;-96,52422415364393;5,24224E+13;12;7201
;;;;;
365;-140;-140,31059627006763;3,10596E+13;15;7216
;;;;;
366;-92;-92,8771754286363;8,77175E+12;10;7226
;;;;;
367;-213;-213,69829390481885;6,98294E+13;19;7245
;;;;;
368;-116;-116,25964634850976;2,59646E+13;16;7261
;;;;;
369;-92;-92,90337283718489;9,03373E+13;11;7272
;;;;;
370;-157;-157,46035483355513;4,60355E+13;16;7288
;;;;;
371;-109;-109,40167670988166;4,01677E+13;8;7296
;;;;;
372;-92;-92,87665271603092;8,76653E+13;11;7307
;;;;;
373;-109;-109,1557271165816;1,55727E+12;10;7317
;;;;;
374;-142;-142,18719079959257;1,87191E+13;15;7332
;;;;;
375;-141;-141,8110323337962;8,11032E+12;14;7346
;;;;;
376;-88;-88,65220708882256;6,52207E+13;11;7357
;;;;;
377;-88;-88,61728958655965;6,1729E+13;11;7368
;;;;;
378;-103;-103,80960525818017;8,09605E+13;10;7378
;;;;;
379;-96;-96,54305455699179;5,43055E+13;12;7390
;;;;;
380;-104;-104,29649042719703;2,9649E+13;14;7404
;;;;;
381;-121;-121,99503034246447;9,9503E+13;15;7419
;;;;;
382;-92;-92,13219995513367;1,322E+13;10;7429
;;;;;
383;-788;-788,2259014350698;2,25901E+12;41;7470
;;;;;
384;-134;-134,63385422835458;6,33854E+13;17;7487
;;;;;
385;-109;-109,62452083005158;6,24521E+13;14;7501
;;;;;
386;-124;-124,80536180540923;8,05362E+13;14;7515
;;;;;
387;-219;-219,879855258392;8,79855E+11;20;7535
;;;;;
388;-112;-112,18744612054238;1,87446E+13;8;7543
;;;;;
389;-94;-94,3642682474935;3,64268E+12;12;7555
;;;;;
390;-110;-110,64470217516578;6,44702E+13;9;7564
;;;;;
391;-96;-96,5198917511716;5,19892E+12;12;7576
;;;;;
392;-109;-109,1559936503439;1,55994E+12;10;7586
;;;;;
393;-169;-169,8581226833601;8,58123E+12;17;7603
;;;;;
394;-92;-92,13542093019478;1,35421E+13;10;7613
;;;;;
395;-88;-88,61433570538406;6,14336E+13;11;7624
;;;;;
396;-254;-254,36825812485844;3,68258E+13;20;7644
;;;;;
397;-110;-110,66324044732153;6,6324E+13;9;7653
;;;;;
398;-108;-108,44333925161177;4,43339E+13;12;7665
;;;;;
399;-108;-108,18354243407688;1,83542E+13;12;7677
;;;;;
400;-111;-111,39745143092236;3,97451E+13;15;7692
;;;;;
401;-98;-98,67444563321126;6,74446E+13;11;7703
;;;;;
402;-97;-97,14561146046998;1,45611E+13;17;7720
;;;;;
403;-96;-96,5528357102308;5,52836E+12;12;7732
;;;;;
404;-86;-86,15030460531327;1,50305E+13;12;7744
;;;;;
405;-93;-93,62374144612838;6,23741E+13;11;7755
;;;;;
406;-94;-94,90347733642864;9,03477E+13;12;7767
;;;;;
407;-102;-102,2145661864543;2,14566E+12;17;7784
;;;;;
408;-121;-121,87673103451681;8,76731E+13;12;7796
;;;;;
409;-106;-106,2864305503189;2,86431E+12;13;7809
;;;;;
410;-129;-129,19633518707323;1,96335E+13;11;7820
;;;;;
411;-126;-126,47789864836949;4,77899E+13;10;7830
;;;;;
412;-109;-109,40427382142173;4,04274E+13;8;7838
;;;;;
413;-113;-113,9835593284242;9,83559E+12;12;7850
;;;;;
414;-108;-108,51492149863012;5,14921E+13;12;7862
;;;;;
415;-191;-191,7060516105872;7,06052E+12;20;7882
;;;;;
416;-125;-125,39248065455504;3,92481E+13;15;7897
;;;;;
417;-120;-120,6960188157963;6,96019E+12;13;7910
;;;;;
418;-98;-98,71950036376711;7,195E+13;10;7920
;;;;;
